Rank,Peak,PlayerName,School,Position,RankingDateString,Projection,ProjectedTeam,State,Conference,ProjectedPoints
1,1,Kayvon Thibodeaux,Oregon,EDGE,2021-09-06,Possible 1st round pick,No Consensus Available,Oregon,Pac 12,35
2,2,Spencer Rattler,Oklahoma,QB,2021-09-06,1,HOUSTON TEXANS,Oklahoma,Big 12,35
3,2,Derek Stingley Jr.,LSU,CB,2021-09-06,3,NEW YORK JETS,Louisiana,SEC,35
4,4,Evan Neal,Alabama,OT,2021-09-06,6,CINCINNATI BENGALS,Alabama,SEC,35
5,3,Kyle Hamilton,Notre Dame,S,2021-09-06,4,JACKSONVILLE JAGUARS,Indiana,FBS - Independent,35
6,2,Sam Howell,North Carolina,QB,2021-09-06,2,DETROIT LIONS,North Carolina,ACC,35
7,7,DeMarvin Leal,Texas A&M,DL,2021-09-06,7,LAS VEGAS RAIDERS,Texas,SEC,35
8,1,Drake Jackson,USC,EDGE,2021-09-06,8,NEW YORK GIANTS,California,Pac 12,35
9,9,Kaiir Elam,Florida,CB,2021-09-06,5,PHILADELPHIA EAGLES,Florida,SEC,35
10,10,Kenyon Green,Texas A&M,IOL,2021-09-06,11,NEW YORK GIANTS,Texas,SEC,35
11,9,Chris Olave,Ohio State,WR,2021-09-06,19,NEW ORLEANS SAINTS,Ohio,Big Ten,30
12,6,Christian Harris,Alabama,LB,2021-09-06,10,CAROLINA PANTHERS,Alabama,SEC,30
13,13,Andrew Booth Jr.,Clemson,CB,2021-09-06,13,ARIZONA CARDINALS,South Carolina,ACC,30
14,11,Garrett Wilson,Ohio State,WR,2021-09-06,Possible 1st round pick,No Consensus Available,Ohio,Big Ten,30
15,10,George Karlaftis,Purdue,EDGE,2021-09-06,16,PHILADELPHIA EAGLES,Indiana,Big Ten,30
16,14,Jalen Wydermyer,Texas A&M,TE,2021-09-06,18,LOS ANGELES CHARGERS,Texas,SEC,30
17,11,Malik Willis,Liberty,QB,2021-09-06,9,ATLANTA FALCONS,Virginia,FCS,30
18,17,Treylon Burks,Arkansas,WR,2021-09-06,24,TENNESSEE TITANS,Arkansas,SEC,30
19,19,Tyler Linderbaum,Iowa,IOL,2021-09-06,27,BALTIMORE RAVENS,Iowa,Big Ten,30
20,20,Aidan Hutchinson,Michigan,EDGE,2021-09-06,25,CLEVELAND BROWNS,Michigan,Big Ten,30
21,21,Ahmad Gardner,Cincinnati,CB,2021-09-06,31,TAMPA BAY BUCCANEERS,Ohio,FBS - AAC,30
22,22,Myjai Sanders,Cincinnati,EDGE,2021-09-06,Possible 1st round pick,No Consensus Available,Ohio,FBS - AAC,30
23,17,Carson Strong,Nevada,QB,2021-09-06,Possible 1st round pick,No Consensus Available,Nevada,FBS - Mountain West,30
24,22,Jordan Battle,Alabama,S,2021-09-06,22,DALLAS COWBOYS,Alabama,SEC,30
25,6,Zach Harrison,Ohio State,EDGE,2021-09-06,21,PHILADELPHIA EAGLES,Ohio,Big Ten,30
26,13,Isaiah Spiller,Texas A&M,RB,2021-09-06,26,MIAMI DOLPHINS,Texas,SEC,25
27,22,Trent McDuffie,Washington,CB,2021-09-06,Possible 1st round pick,No Consensus Available,Washington,Pac 12,25
28,27,Kingsley Enagbare,South Carolina,EDGE,2021-09-06,Possible 1st round pick,No Consensus Available,South Carolina,SEC,25
29,14,Charles Cross,Mississippi State,OT,2021-09-06,12,PITTSBURGH STEELERS,Mississippi,SEC,25
30,11,Zion Nelson,Miami (FL),OT,2021-09-06,Possible 1st round pick,No Consensus Available,Florida,ACC,25
31,30,Jaxson Kirkland,Washington,OT,2021-09-06,Possible 1st round pick,No Consensus Available,Washington,Pac 12,25
32,25,Perrion Winfrey,Oklahoma,DL,2021-09-06,17,MINNESOTA VIKINGS,Oklahoma,Big 12,25
33,33,Devin Lloyd,Utah,LB,2021-09-06,,,Utah,Pac 12,25
34,7,Kedon Slovis,USC,QB,2021-09-06,14,WASHINGTON FOOTBALL TEAM,California,Pac 12,25
35,35,Adam Anderson,Georgia,EDGE,2021-09-06,,,Georgia,SEC,25
36,32,Ikem Ekwonu,NC State,IOL,2021-09-06,,,North Carolina,ACC,20
37,31,Matt Corral,Ole Miss,QB,2021-09-06,,,Mississippi,SEC,20
38,18,Rasheed Walker,Penn State,OT,2021-09-06,28,GREEN BAY PACKERS,Pennsylvania,Big Ten,20
39,22,Breece Hall,Iowa State,RB,2021-09-06,30,BUFFALO BILLS,Iowa,Big 12,20
40,19,John Metchie III,Alabama,WR,2021-09-06,29,DETROIT LIONS,Alabama,SEC,20
41,8,Justyn Ross,Clemson,WR,2021-09-06,32,KANSAS CITY CHIEFS,South Carolina,ACC,20
42,12,George Pickens,Georgia,WR,2021-09-06,20,NEW ENGLAND PATRIOTS,Georgia,SEC,20
43,40,Darian Kinnard,Kentucky,OT,2021-09-06,,,Kentucky,SEC,20
44,33,Brandon Joseph,Northwestern,S,2021-09-06,,,Illinois,Big Ten,20
45,20,Nik Bonitto,Oklahoma,EDGE,2021-09-06,15,DENVER BRONCOS,Oklahoma,Big 12,20
46,43,Drake London,USC,WR,2021-09-06,,,California,Pac 12,20
47,7,Sevyn Banks,Ohio State,CB,2021-09-06,23,NEW YORK JETS,Ohio,Big Ten,20
48,47,Tykee Smith,Georgia,S,2021-09-06,,,Georgia,SEC,20
49,43,Jordan Davis,Georgia,DL,2021-09-06,,,Georgia,SEC,20
50,34,Jahleel Billingsley,Alabama,TE,2021-09-06,,,Alabama,SEC,20
51,21,Josh Jobe,Alabama,CB,2021-09-06,,,Alabama,SEC,20
52,16,Brenton Cox Jr.,Florida,EDGE,2021-09-06,,,Florida,SEC,20
53,50,Cade Otton,Washington,TE,2021-09-06,,,Washington,Pac 12,20
54,8,Derion Kendrick,Georgia,CB,2021-09-06,,,Georgia,SEC,20
55,38,Thayer Munford,Ohio State,OT,2021-09-06,,,Ohio,Big Ten,20
56,4,Desmond Ridder,Cincinnati,QB,2021-09-06,,,Ohio,FBS - AAC,20
57,17,Brandon Smith,Penn State,LB,2021-09-06,,,Pennsylvania,Big Ten,20
58,46,Sean Rhyan,UCLA,OT,2021-09-06,,,California,Pac 12,20
59,8,Bubba Bolden,Miami (FL),S,2021-09-06,,,Florida,ACC,20
60,47,David Bell,Purdue,WR,2021-09-06,,,Indiana,Big Ten,15
61,60,Zion Tupuola-Fetui,Washington,EDGE,2021-09-06,,,Washington,Pac 12,15
62,9,Daniel Faalele,Minnesota,OT,2021-09-06,,,Minnesota,Big Ten,15
63,63,Nicholas Petit-Frere,Ohio State,OT,2021-09-06,,,Ohio,Big Ten,15
64,46,Owen Pappoe,Auburn,LB,2021-09-06,,,Alabama,SEC,15
65,42,Tyler Davis,Clemson,DL,2021-09-06,,,South Carolina,ACC,15
66,48,Kyren Williams,Notre Dame,RB,2021-09-06,,,Indiana,FBS - Independent,15
67,37,Nick Broeker,Ole Miss,OT,2021-09-06,,,Mississippi,SEC,15
68,63,Daxton Hill,Michigan,S,2021-09-06,,,Michigan,Big Ten,15
69,63,DeMarvion Overshown,Texas,LB,2021-09-06,,,Texas,Big 12,15
70,62,Jarrett Patterson,Notre Dame,IOL,2021-09-06,,,Indiana,FBS - Independent,15
71,35,Jahan Dotson,Penn State,WR,2021-09-06,,,Pennsylvania,Big Ten,10
72,61,Jalen Tolbert,South Alabama,WR,2021-09-06,,,Alabama,FBS - Sun Belt,10
73,6,Haskell Garrett,Ohio State,DL,2021-09-06,,,Ohio,Big Ten,10
