School,Conference,ProjectedPoints,NumberOfProspects
Clemson,ACC,210,7
Alabama,SEC,165,8
LSU,SEC,145,7
Georgia,SEC,133,8
Oklahoma,Big 12,130,6
Ohio State,Big Ten,130,5
Penn State,Big Ten,70,3
Oregon,Pac 12,65,4
TCU,Big 12,65,3
Iowa State,Big 12,60,6
Texas A&M,SEC,60,4
Georgia Tech,ACC,60,2
Coastal Carolina,FCS,55,2
Florida,SEC,50,3
Notre Dame,FBS - Independent,48,3
South Carolina,SEC,45,2
Miami (FL),ACC,40,2
North Carolina,ACC,40,2
Nebraska,Big Ten,38,2
Florida State,ACC,35,2
Indiana,Big Ten,35,1
Syracuse,ACC,35,1
Texas,Big 12,33,2
Mississippi State,SEC,30,1
Stanford,Pac 12,20,2
Maryland,Big Ten,20,2
Auburn,SEC,20,1
Northwestern,Big Ten,20,1
Houston,FBS - AAC,20,1
Wake Forest,ACC,20,1
Louisiana Tech,FBS - CUSA,20,1
UAB,FBS - CUSA,20,1
Wisconsin,Big Ten,18,2
Minnesota,Big Ten,15,1
East Carolina,FBS - AAC,15,1
Memphis,FBS - AAC,10,1
Boise State,FBS - Mountain West,10,1
Kentucky,SEC,10,1
Washington,Pac 12,10,1
Virginia Tech,ACC,10,1
Arkansas,SEC,8,1
