Rank,Player Name,Position,College
1,Cade Klubnik,QB,Clemson
2,Garrett Nussmeier,QB,LSU
3,Caleb Downs,S,Ohio State
4,LaNorris Sellers,QB,South Carolina
5,Kadyn Proctor,OT,Alabama
6,Francis Mauigoa,OT,Miami (FL)
7,Peter Woods,DL,Clemson
8,T.J. Parker,DL,Clemson
9,Jeremiyah Love,RB,Notre Dame
10,Rueben Bain,EDGE,Miami (FL)
11,Fernando Mendoza,QB,Indiana
12,Keldric Faulk,DL,Auburn
13,Jermod McCoy,CB,Tennessee
14,Spencer Fano,OT,Utah
15,Drew Allar,QB,Penn State
16,Dani Dennis-Sutton,EDGE,Penn State
17,Caleb Banks,DL,Florida
18,Anthony Hill Jr.,LB,Texas
19,Dillon Thieneman,S,Oregon
20,Isaiah World,OT,Oregon
21,Jordyn Tyson,WR,Arizona State
22,Antonio Williams,WR,Clemson
23,Matayo Uiagalelei,EDGE,Oregon
24,C.J. Allen,LB,Georgia
25,Avieon Terrell,CB,Clemson
26,Caleb Lomu,OT,Utah
27,DJ McKinney,CB,Colorado
28,L.T. Overton,EDGE,Alabama
29,Jalon Kilgore,CB,South Carolina
30,Austin Barber,OT,Florida
31,Christen Miller,DL,Georgia
32,Gabe Jacas,EDGE,Illinois
33,Denzel Boston,WR,Washington
34,Carnell Tate,WR,Ohio State
35,Anto Saka,EDGE,Northwestern
36,Suntarine Perkins,LB,Mississippi
37,Nick Singleton,RB,Penn State
38,Ja'Kobi Lane,WR,USC
39,Sonny Styles,LB,Ohio State
40,A.J. Harris,CB,Penn State
41,Tyreak Sapp,DL,Florida
42,Domani Jackson,CB,Alabama
43,Sam Leavitt,QB,Arizona State
44,Malik Muhammad,CB,Texas
45,Cayden Green,OT,Missouri
46,Tacario Davis,CB,Washington
47,Emmanuel Pregnon,IOL,Oregon
48,Will Lee III,CB,Texas A&M
49,Dontay Corleone,DL,Cincinnati
50,Mansoor Delane,CB,LSU
51,Kenyon Sadiq,TE,Oregon
52,Deontae Lawson,LB,Alabama
53,Makai Lemon,WR,USC
54,Zachariah Branch,WR,Georgia
55,Jack Endries,TE,California
56,Kevin Concepcion,WR,Texas A&M
57,Elijah Sarratt,WR,Indiana
58,Max Klare,TE,Ohio State
59,Gracen Halton,DL,Oklahoma
60,Eric Singleton Jr.,WR,Auburn
61,Zane Durant,DL,Penn State
62,Jaeden Roberts,IOL,Alabama
63,David Bailey,EDGE,Texas Tech
64,D'angelo Ponds,CB,Indiana
65,Kaytron Allen,RB,Penn State
66,Keon Sabb,S,Alabama
67,Cashius Howell,EDGE,Texas A&M
68,Kamari Ramsey,S,USC
69,Drew Shelton,OT,Penn State
70,Harold Perkins,LB,LSU
71,Eli Stowers,TE,Vanderbilt
72,DeMonte Capehart,DL,Clemson
73,Parker Brailsford,IOL,Alabama
74,Ar'maj Reed-Adams,IOL,Texas A&M
75,Aamil Wagner,OT,Notre Dame
76,Quintrevion Wisner,RB,Texas
77,Makhi Hughes,RB,Oregon
78,Patrick Payton,EDGE,LSU
79,Chandler Rivers,CB,Duke
80,Blake Miller,OT,Clemson
81,Tim Keenan III,DL,Alabama
82,John Mateer,QB,Oklahoma
83,Mikail Kamara,EDGE,Indiana
84,Xavier Scott,S,Illinois
85,Tristan Leigh,OT,Clemson
86,Trey Zuhn III,OT,Texas A&M
87,Keanu Tanuvasa,DL,Utah
88,Davison Igbinosun,CB,Ohio State
89,Darrell Jackson Jr.,DL,Florida State
90,Charles Jagusah,OT,Notre Dame
91,Jake Slaughter,IOL,Florida
92,D.J. Campbell,IOL,Texas
93,Nyck Harbor,WR,South Carolina
94,Chase Bisontis,IOL,Texas A&M
