School,Conference,ProjectedPoints,NumberOfProspects
Georgia,SEC,213,22
Alabama,SEC,204,22
Ohio State,Big Ten,171,19
Texas A&M,SEC,134,13
Penn State,Big Ten,106,14
Cincinnati,FBS - AAC,98,10
Oklahoma,Big 12,97,21
Michigan,Big Ten,89,11
Notre Dame,FBS - Independent,87,13
Washington,Pac 12,87,8
USC,Pac 12,82,12
Clemson,ACC,79,17
Oregon,Pac 12,79,11
LSU,SEC,69,13
Kentucky,SEC,68,9
Auburn,SEC,66,12
Florida,SEC,66,11
Iowa,Big Ten,65,8
Ole Miss,SEC,64,12
Arkansas,SEC,63,8
Purdue,Big Ten,56,3
NC State,ACC,49,6
UCLA,Pac 12,48,11
Boston College,ACC,48,6
Mississippi State,SEC,48,4
Arizona State,Pac 12,47,10
Nevada,FBS - Mountain West,45,5
South Carolina,SEC,44,7
Iowa State,Big 12,42,10
Virginia Tech,ACC,42,10
Coastal Carolina,FCS,35,7
Utah,Pac 12,34,4
Miami (FL),ACC,32,13
Minnesota,Big Ten,32,8
Liberty,FCS,31,2
Wisconsin,Big Ten,30,6
Pitt,ACC,29,6
TCU,Big 12,28,6
North Carolina,ACC,28,4
Northwestern,Big Ten,26,2
Northern Iowa,FCS,25,1
Michigan State,Big Ten,23,4
Indiana,Big Ten,21,7
Florida State,ACC,21,5
Texas,Big 12,20,6
Missouri,SEC,20,6
Tennessee,SEC,17,5
Stanford,Pac 12,17,4
Virginia,ACC,16,6
Maryland,Big Ten,16,5
Memphis,FBS - AAC,15,6
Colorado State,FBS - Mountain West,15,1
Boise State,FBS - Mountain West,15,1
Central Michigan,FBS - MAC,12,3
Washington State,Pac 12,12,3
Baylor,Big 12,11,6
BYU,FBS - Independent,11,3
Rutgers,Big Ten,10,4
South Alabama,FBS - Sun Belt,10,1
Fresno State,FBS - Mountain West,9,4
San Diego State,FBS - Mountain West,9,3
SMU,FBS - AAC,9,3
UConn,FBS - AAC,9,2
Syracuse,ACC,9,2
Louisiana-Lafayette,FBS - Sun Belt,9,2
Oklahoma State,Big 12,8,4
Appalachian State,FBS - Sun Belt,8,4
Tulsa,FBS - AAC,8,2
Houston,FBS - AAC,8,2
UTSA,FBS - CUSA,7,3
Duke,ACC,7,2
UAB,FBS - CUSA,7,2
Southern Utah,FCS,7,1
Louisville,ACC,6,5
Tulane,FBS - AAC,6,2
Wyoming,FBS - Mountain West,6,1
West Virginia,Big 12,5,3
UTEP,FBS - CUSA,5,1
Illinois,Big Ten,4,3
Western Kentucky,FBS - CUSA,4,3
San Jose State,FBS - Mountain West,3,3
California,Pac 12,3,3
UCF,FBS - AAC,3,3
Buffalo,FBS - MAC,3,3
Wake Forest,ACC,3,2
Texas Tech,Big 12,3,2
Colorado,Pac 12,3,2
Nebraska,Big Ten,2,2
North Dakota State,FCS,2,2
Western Michigan,FBS - MAC,2,2
North Texas,FBS - CUSA,2,2
Oregon State,Pac 12,2,2
Troy,FBS - Sun Belt,2,2
South Dakota State,FCS,2,1
East Carolina,FBS - AAC,1,1
Marshall,FBS - CUSA,1,1
Florida A&M,FCS,1,1
Miami (OH),FBS - MAC,1,1
South Carolina State,FCS,1,1
Kansas,Big 12,1,1
Jackson State,FCS,1,1
McNeese State,FCS,1,1
Fayetteville State,D2,1,1
South Florida,FBS - AAC,1,1
Navy,FBS - AAC,1,1
Southern Miss,FBS - CUSA,1,1
Louisiana Tech,FBS - CUSA,1,1
Hawaii,FBS - Mountain West,1,1
Ball State,FBS - MAC,1,1
Georgia Tech,ACC,1,1
Jacksonville State,FCS,1,1
Sam Houston State,FCS,1,1
Lindenwood,D2,1,1
Florida International,FBS - CUSA,1,1
Vanderbilt,SEC,1,1
Kent State,FBS - MAC,1,1
Middle Tennessee State,FBS - CUSA,1,1
