ScrapeDate,NumberOfSchools,TopSchool,TopProjectedPoints,ProspectCountForTopSchool
2021-10-03,12,Alabama,260,8
2021-10-20,24,Alabama,356,16
2021-12-31,26,Ohio State,321,15
2022-01-11,30,Alabama,321,16
2022-01-27,32,Alabama,328,17
2022-05-23,39,Ohio State,283,14
2022-12-27,108,Ohio State,315,18
2023-01-08,110,Ohio State,323,20
2023-01-17,110,Ohio State,347,23
2023-01-21,119,Ohio State,361,29
2023-02-27,120,Ohio State,381,29
2023-05-07,129,Ohio State,335,31
2023-05-22,130,Ohio State,345,31
2023-06-13,131,Ohio State,332,31
2023-08-11,131,Ohio State,323,31
2023-08-21,131,Ohio State,331,31
2023-08-26,131,Ohio State,311,31
2023-09-08,132,Ohio State,287,31
2023-09-11,135,Ohio State,269,31
2023-09-18,135,Ohio State,261,31
2023-09-20,136,Ohio State,273,31
2023-09-24,137,Ohio State,275,31
2023-09-27,137,Ohio State,271,31
2023-10-01,137,Ohio State,269,31
2023-10-02,137,Ohio State,270,31
2023-10-04,137,Ohio State,273,31
2023-10-07,137,Ohio State,269,31
2023-10-09,137,Ohio State,274,31
2023-10-11,137,Ohio State,274,31
2023-10-13,137,Ohio State,273,31
2023-10-15,137,Ohio State,271,31
2023-10-16,137,Ohio State,266,31
2023-10-19,137,Ohio State,266,31
2023-10-22,139,Ohio State,261,31
2023-10-25,139,Ohio State,248,31
2023-10-30,139,Ohio State,246,32
2023-11-01,140,Ohio State,245,32
2023-11-03,140,Ohio State,249,32
2023-11-06,140,Ohio State,248,32
2023-11-08,140,Ohio State,248,32
2023-11-10,141,Ohio State,248,32
2023-11-12,142,Ohio State,250,32
2023-11-17,143,Ohio State,248,32
2023-11-25,144,Ohio State,241,32
2023-12-02,145,Ohio State,239,32
2023-12-04,146,Ohio State,238,32
2023-12-06,145,Ohio State,240,29
2023-12-08,146,Ohio State,233,29
2023-12-13,146,Ohio State,236,29
2024-01-01,146,Ohio State,227,28
2024-01-10,147,Ohio State,188,25
2024-01-17,145,Alabama,184,21
2024-01-23,147,Alabama,188,20
2024-01-30,156,Alabama,190,20
2024-02-10,158,Alabama,180,18
2024-02-15,150,Washington,171,15
2024-03-03,145,Alabama,169,11
2024-03-05,145,Michigan,169,18
2024-03-11,148,Washington,170,15
2024-03-14,148,Michigan,174,18
2024-03-18,148,Michigan,174,18
2024-03-21,148,Michigan,176,18
2024-03-23,148,Michigan,176,18
2024-03-25,149,Michigan,176,18
2024-04-02,150,Michigan,177,18
2024-04-05,150,Alabama,175,12
