School,Conference,ProjectedPoints,NumberOfProspects,SchoolURL
Texas A&M,SEC,201,19,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/texas_a&amp;m.svg
Alabama,SEC,176,16,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/alabama.svg
Georgia,SEC,145,15,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/georgia.svg
Ohio State,Big Ten,140,15,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/ohio_st.svg
Ole Miss,SEC,136,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/mississippi.svg
Texas,SEC,130,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/texas.svg
Clemson,ACC,129,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/clemson.svg
Colorado,Big 12,110,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/colorado.svg
Notre Dame,FBS - Independent,102,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/notre_dame.svg
Oklahoma,SEC,92,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oklahoma.svg
Oregon,Big Ten,89,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oregon.svg
Penn State,Big Ten,88,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/penn_st.svg
Kentucky,SEC,87,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/kentucky.svg
USC,Big Ten,87,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/usc.svg
LSU,SEC,80,5,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/lsu.svg
Florida State,ACC,76,6,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/florida_st.svg
Cincinnati,Big 12,65,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/cincinnati.svg
Michigan,Big Ten,64,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/michigan.svg
Texas Tech,Big 12,61,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/texas_tech.svg
North Carolina,ACC,57,6,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/north_carolina.svg
Kansas State,Big 12,55,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/kansas_st.svg
Wisconsin,Big Ten,52,5,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/wisconsin.svg
Louisville,ACC,52,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/louisville.svg
South Carolina,SEC,50,5,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/south_carolina.svg
Vanderbilt,SEC,47,4,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/vanderbilt.svg
Miami (FL),ACC,38,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/miami.svg
Washington State,Pac 12,37,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/washington_st.svg
