State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,374,12,87
Ohio,282,5,39
Georgia,191,4,31
Florida,187,8,70
Michigan,180,4,26
Mississippi,155,3,27
Oregon,148,2,27
South Carolina,132,4,31
Alabama,127,5,27
Indiana,126,3,31
Louisiana,126,5,25
Pennsylvania,115,3,20
Iowa,103,3,21
North Carolina,100,9,31
Kentucky,98,3,19
Colorado,96,3,16
California,94,8,37
Tennessee,80,3,20
Arizona,78,2,16
Oklahoma,70,3,26
Missouri,66,1,13
Virginia,65,4,25
West Virginia,63,2,15
Kansas,49,2,14
Minnesota,45,2,9
Arkansas,43,3,16
Utah,39,3,19
Idaho,39,1,5
Massachusetts,35,3,11
Maryland,32,2,9
Illinois,31,3,12
New York,27,1,10
Nebraska,23,1,11
Wisconsin,22,1,8
New Jersey,20,1,9
North Dakota,15,1,1
Washington,9,2,9
Connecticut,8,1,3
Nevada,6,2,2
Wyoming,6,1,2
Washington DC,5,1,1
Montana,3,1,2
Delaware,2,1,1
Vermont,1,1,1
Hawaii,1,1,1
