1,1,Garrett Nussmeier,LSU,QB,2025-10-01,,,Louisiana,SEC,35
2,2,LaNorris Sellers,South Carolina,QB,2025-10-01,,,South Carolina,SEC,35
3,3,Rueben Bain,Miami (FL),EDGE,2025-10-01,,,Florida,ACC,35
4,4,Caleb Downs,Ohio State,S,2025-10-01,,,Ohio,Big Ten,35
5,5,Fernando Mendoza,Indiana,QB,2025-10-01,,,Indiana,Big Ten,35
6,6,Peter Woods,Clemson,DL,2025-10-01,,,South Carolina,ACC,35
7,7,Spencer Fano,Utah,OT,2025-10-01,,,Utah,Big 12,35
8,8,Francis Mauigoa,Miami (FL),OT,2025-10-01,,,Florida,ACC,35
9,9,Keldric Faulk,Auburn,EDGE,2025-10-01,,,Alabama,SEC,35
10,10,T.J. Parker,Clemson,EDGE,2025-10-01,,,South Carolina,ACC,35
11,11,Jordyn Tyson,Arizona State,WR,2025-10-01,,,Arizona,Big 12,30
12,12,Kadyn Proctor,Alabama,OT,2025-10-01,,,Alabama,SEC,30
13,13,Jermod McCoy,Tennessee,CB,2025-10-01,,,Tennessee,SEC,30
14,14,Jeremiyah Love,Notre Dame,RB,2025-10-01,,,Indiana,FBS - Independent,30
15,15,Cade Klubnik,Clemson,QB,2025-10-01,,,South Carolina,ACC,30
16,16,Dante Moore,Oregon,QB,2025-10-01,,,Oregon,Big Ten,30
17,17,Drew Allar,Penn State,QB,2025-10-01,,,Pennsylvania,Big Ten,30
18,18,Caleb Lomu,Utah,OT,2025-10-01,,,Utah,Big 12,30
19,19,Mansoor Delane,LSU,CB,2025-10-01,,,Louisiana,SEC,30
20,20,Anthony Hill Jr.,Texas,LB,2025-10-01,,,Texas,SEC,30
21,21,Avieon Terrell,Clemson,CB,2025-10-01,,,South Carolina,ACC,30
22,22,Carnell Tate,Ohio State,WR,2025-10-01,,,Ohio,Big Ten,30
23,23,Kenyon Sadiq,Oregon,TE,2025-10-01,,,Oregon,Big Ten,30
24,24,John Mateer,Oklahoma,QB,2025-10-01,,,Oklahoma,SEC,30
25,25,Isaiah World,Oregon,OT,2025-10-01,,,Oregon,Big Ten,30
26,26,Caleb Banks,Florida,DL,2025-10-01,,,Florida,SEC,25
27,27,Sonny Styles,Ohio State,LB,2025-10-01,,,Ohio,Big Ten,25
28,28,Matayo Uiagalelei,Oregon,EDGE,2025-10-01,,,Oregon,Big Ten,25
29,29,C.J. Allen,Georgia,LB,2025-10-01,,,Georgia,SEC,25
30,30,Makai Lemon,USC,WR,2025-10-01,,,California,Big Ten,25
31,31,Dani Dennis-Sutton,Penn State,EDGE,2025-10-01,,,Pennsylvania,Big Ten,25
32,32,L.T. Overton,Alabama,EDGE,2025-10-01,,,Alabama,SEC,25
