School,Conference,ProjectedPoints,NumberOfProspects
Clemson,ACC,197,23
Alabama,SEC,190,29
Penn State,Big Ten,186,28
Texas,SEC,181,22
Oregon,Big Ten,160,20
Ohio State,Big Ten,158,28
Georgia,SEC,135,24
LSU,SEC,129,25
Florida,SEC,112,18
Texas A&M,SEC,105,26
Auburn,SEC,104,12
Notre Dame,FBS - Independent,96,19
Arizona State,Big 12,96,14
South Carolina,SEC,94,16
Miami (FL),ACC,92,15
Utah,Big 12,83,8
Indiana,Big Ten,77,12
USC,Big Ten,72,14
Oklahoma,SEC,70,20
Michigan,Big Ten,54,16
Iowa,Big Ten,54,9
Tennessee,SEC,53,10
Illinois,Big Ten,48,14
Washington,Big Ten,44,6
Missouri,SEC,41,13
Minnesota,Big Ten,39,9
Colorado,Big 12,37,14
Louisville,ACC,37,10
Texas Tech,Big 12,34,9
Northwestern,Big Ten,30,5
Virginia Tech,ACC,29,12
Vanderbilt,SEC,29,11
SMU,ACC,28,14
Kansas,Big 12,28,11
Pitt,ACC,27,10
Florida State,ACC,26,14
Ole Miss,SEC,26,12
Baylor,Big 12,25,12
Duke,ACC,24,6
Arkansas,SEC,21,8
Cincinnati,Big 12,21,7
Iowa State,Big 12,21,6
UCLA,Big Ten,20,11
Virginia,ACC,20,10
BYU,Big 12,18,9
NC State,ACC,18,5
TCU,Big 12,17,11
Boise State,FBS - Mountain West,17,5
Boston College,ACC,16,6
Michigan State,Big Ten,16,5
Wisconsin,Big Ten,15,10
Wake Forest,ACC,15,5
Stanford,ACC,13,5
Arizona,Big 12,12,7
Toledo,FBS - MAC,12,3
Kentucky,SEC,11,11
Nebraska,Big Ten,11,6
Georgia Tech,ACC,11,5
UConn,FBS - AAC,11,3
North Carolina,ACC,10,10
Kansas State,Big 12,10,5
Rutgers,Big Ten,9,4
Mississippi State,SEC,8,8
Tulane,FBS - AAC,8,4
East Carolina,FBS - AAC,8,3
UCF,Big 12,7,7
Houston,Big 12,7,6
Wyoming,FBS - Mountain West,7,3
James Madison,FBS - Sun Belt,7,3
South Dakota State,FCS,7,1
North Dakota State,FCS,7,1
West Virginia,Big 12,6,6
Oklahoma State,Big 12,6,6
Massachusetts,FBS - MAC,6,2
Syracuse,ACC,5,5
UNLV,FBS - Mountain West,5,5
Texas State,FBS - Sun Belt,5,4
Harvard,FCS,5,1
Western Kentucky,FBS - CUSA,5,1
Troy,FBS - Sun Belt,4,4
Southern Miss,FBS - CUSA,4,4
Oregon State,Pac 12,4,4
California,ACC,4,4
Miami (OH),FBS - MAC,4,4
Maryland,Big Ten,4,3
Sacramento State,FCS,3,3
Bowling Green,FBS - MAC,3,3
Louisiana-Lafayette,FBS - Sun Belt,3,3
Memphis,FBS - AAC,3,3
Western Michigan,FBS - MAC,3,3
Marshall,FBS - CUSA,3,2
Youngstown State,FCS,3,2
San Diego State,FBS - Mountain West,2,2
Sam Houston State,FBS - CUSA,2,2
Charlotte,FBS - AAC,2,2
New Mexico,FBS - Mountain West,2,2
Arkansas State,FBS - Sun Belt,2,2
Jacksonville State,FBS - CUSA,2,2
Appalachian State,FBS - Sun Belt,2,2
Tulsa,FBS - AAC,2,2
UTSA,FBS - AAC,2,2
North Dakota,FCS,2,1
Abilene Christian,FCS,1,1
UTEP,FBS - CUSA,1,1
Rice,FBS - AAC,1,1
William & Mary,FCS,1,1
Virginia State,D2,1,1
West Alabama,D2,1,1
Northern Illinois,FBS - MAC,1,1
UC Davis,FCS,1,1
Central Michigan,FBS - MAC,1,1
Buffalo,FBS - MAC,1,1
Western Illinois,FCS,1,1
McNeese State,FCS,1,1
Georgia State,FBS - Sun Belt,1,1
Akron,FBS - MAC,1,1
UAB,FBS - AAC,1,1
Coastal Carolina,FCS,1,1
Georgia Southern,FBS - Sun Belt,1,1
Nicholls State,FCS,1,1
South Alabama,FBS - Sun Belt,1,1
South Florida,FBS - AAC,1,1
Stephen F. Austin,FCS,1,1
San Jose State,FBS - Mountain West,1,1
Fresno State,FBS - Mountain West,1,1
Tarleton State,D2,1,1
New Mexico State,FBS - CUSA,1,1
UT Martin,FCS,1,1
Florida Atlantic,FBS - AAC,1,1
Cal Poly,FCS,1,1
Old Dominion,FBS - CUSA,1,1
Purdue,Big Ten,1,1
Air Force,FBS - Mountain West,1,1
East Tennessee State,FCS,1,1
