Rank,Peak,PlayerName,School,Position,RankingDateString,Projection,ProjectedTeam,State,Conference,ProjectedPoints
1,1,Malachi Nelson,Boise State,QB,2025-01-02,N/A,,Idaho,FBS - Mountain West,35
2,2,Kadyn Proctor,Alabama,OT,2025-01-02,N/A,,Alabama,SEC,35
3,3,Francis Mauigoa,Miami (FL),OT,2025-01-02,N/A,,Florida,ACC,35
4,4,Arch Manning,Texas,QB,2025-01-02,N/A,,Texas,SEC,35
5,5,LaNorris Sellers,South Carolina,QB,2025-01-02,N/A,,South Carolina,SEC,35
6,6,Dezz Ricks,Texas A&M,CB,2025-01-02,N/A,,Texas,SEC,35
7,7,Carnell Tate,Ohio State,WR,2025-01-02,N/A,,Ohio,Big Ten,35
8,8,Kendrick Law,Kentucky,WR,2025-01-02,N/A,,Kentucky,SEC,35
9,9,Peyton Bowen,Oklahoma,S,2025-01-02,N/A,,Oklahoma,SEC,35
10,10,Nyck Harbor,South Carolina,WR,2025-01-02,N/A,,South Carolina,SEC,35
11,11,Nico Iamaleava,Tennessee,QB,2025-01-02,N/A,,Tennessee,SEC,30
12,12,Anthony Hill Jr.,Texas,LB,2025-01-02,N/A,,Texas,SEC,30
13,13,Johntay Cook II,Washington,WR,2025-01-02,N/A,,Washington,Big Ten,30
14,4,Rueben Bain,Miami (FL),EDGE,2025-01-02,N/A,,Florida,ACC,30
15,15,Matayo Uiagalelei,Oregon,EDGE,2025-01-02,N/A,,Oregon,Big Ten,30
16,16,Antonio Kite,Auburn,CB,2025-01-02,N/A,,Alabama,SEC,30
17,17,Lawson Luckie,Georgia,TE,2025-01-02,N/A,,Georgia,SEC,30
18,8,Nic Anderson,LSU,WR,2025-01-02,N/A,,Louisiana,SEC,30
19,1,Drew Allar,Penn State,QB,2025-01-02,N/A,,Pennsylvania,Big Ten,30
20,8,Dane Key,Nebraska,WR,2025-01-02,N/A,,Nebraska,Big Ten,30
21,10,Caleb Downs,Ohio State,S,2025-01-02,N/A,,Ohio,Big Ten,30
22,11,Barion Brown,LSU,WR,2025-01-02,N/A,,Louisiana,SEC,30
23,23,Tree Babalade,South Carolina,OT,2025-01-02,N/A,,South Carolina,SEC,30
24,24,T.J. Parker,Clemson,DL,2025-01-02,N/A,,South Carolina,ACC,30
25,10,Bear Alexander,Oregon,DL,2025-01-02,N/A,,Oregon,Big Ten,30
26,26,Alex Birchmeier,Penn State,IOL,2025-01-02,N/A,,Pennsylvania,Big Ten,25
27,27,Jordan Hall,Georgia,DL,2025-01-02,N/A,,Georgia,SEC,25
28,14,Spencer Fano,Utah,OT,2025-01-02,N/A,,Utah,Big 12,25
29,18,Jackson Arnold,Auburn,QB,2025-01-02,N/A,,Alabama,SEC,25
30,20,Damari Brown,Miami (FL),CB,2025-01-02,N/A,,Florida,ACC,25
31,1,Miller Moss,Louisville,QB,2025-01-02,N/A,,Kentucky,ACC,25
32,19,Jimari Butler,LSU,LB,2025-01-02,N/A,,Louisiana,SEC,25
33,24,Anthony Evans III,Georgia,WR,2025-01-02,N/A,,Georgia,SEC,25
34,26,Jamari Lyons,Florida,DL,2025-01-02,N/A,,Florida,SEC,25
35,2,Conner Weigman,Houston,QB,2025-01-02,N/A,,Texas,Big 12,25
36,27,Ja'Bril Rawls,Florida State,S,2025-01-02,N/A,,Florida,ACC,20
37,30,Iapani Laloulu,Oregon,IOL,2025-01-02,N/A,,Oregon,Big Ten,20
38,17,Ethan Onianwa,Rice,OT,2025-01-02,N/A,,Texas,FBS - AAC,20
39,1,Tacario Davis,Arizona,CB,2025-01-02,N/A,,Arizona,Big 12,20
40,34,Eugene Wilson III,Florida,WR,2025-01-02,N/A,,Florida,SEC,20
41,41,Dante Dowdell,Kentucky,RB,2025-01-02,N/A,,Kentucky,SEC,20
42,42,Cole Martin,Arizona State,CB,2025-01-02,N/A,,Arizona,Big 12,20
43,30,Jalon Daniels,Kansas,QB,2025-01-02,N/A,,Kansas,Big 12,20
44,44,London Humphreys,Georgia,WR,2025-01-02,N/A,,Georgia,SEC,20
45,45,Randon Fontenette,Vanderbilt,S,2025-01-02,N/A,,Tennessee,SEC,20
46,46,Raymond Cottrell,Kentucky,WR,2025-01-02,N/A,,Kentucky,SEC,20
47,47,Tony Mitchell,Alabama,S,2025-01-02,N/A,,Alabama,SEC,20
48,48,Kevin Concepcion,NC State,WR,2025-01-02,N/A,,North Carolina,ACC,20
49,49,Luke Hasz,Ole Miss,TE,2025-01-02,N/A,,Mississippi,SEC,20
50,50,Dillon Thieneman,Oregon,S,2025-01-02,N/A,,Oregon,Big Ten,20
51,51,Tyler Brown,Clemson,WR,2025-01-02,N/A,,South Carolina,ACC,20
52,52,Taurean York,Texas A&M,LB,2025-01-02,N/A,,Texas,SEC,20
53,2,Mansoor Delane,LSU,CB,2025-01-02,N/A,,Louisiana,SEC,20
54,54,Roderick Kearney,Florida,OT,2025-01-02,N/A,,Florida,SEC,20
55,55,Christian Gray,Notre Dame,CB,2025-01-02,N/A,,Indiana,FBS - Independent,20
56,56,Wilkin Formby,Alabama,OT,2025-01-02,N/A,,Alabama,SEC,20
57,57,Darius Taylor,Minnesota,RB,2025-01-02,N/A,,Minnesota,Big Ten,20
58,58,Djay Braswell,South Carolina,RB,2025-01-02,N/A,,South Carolina,SEC,20
59,59,Caden Jenkins,Baylor,CB,2025-01-02,N/A,,Texas,Big 12,20
60,15,A'Marion McCoy,Boise State,CB,2025-01-02,N/A,,Idaho,FBS - Mountain West,15
61,61,Tony Rojas,Penn State,LB,2025-01-02,N/A,,Pennsylvania,Big Ten,15
62,62,Robert Stafford,Miami (FL),CB,2025-01-02,N/A,,Florida,ACC,15
63,63,DaKaari Nelson,Penn State,S,2025-01-02,N/A,,Pennsylvania,Big Ten,15
64,64,Roderick Robinson II,Georgia,RB,2025-01-02,N/A,,Georgia,SEC,15
65,65,Eric Singleton Jr.,Georgia Tech,WR,2025-01-02,,,Georgia,ACC,15
66,66,Damon Wilson Jr.,Georgia,EDGE,2025-01-02,,,Georgia,SEC,15
67,67,Pearce Spurlin III,Georgia,TE,2025-01-02,,,Georgia,SEC,15
68,68,Jacobe Johnson,Oklahoma,CB,2025-01-02,,,Oklahoma,SEC,15
69,69,Daniel Harris,Georgia,CB,2025-01-02,,,Georgia,SEC,15
70,70,Bravion Rogers,Texas A&M,CB,2025-01-02,,,Texas,SEC,15
71,71,Rodrick Pleasant,Oregon,CB,2025-01-02,,,Oregon,Big Ten,10
72,72,Makari Vickers,Colorado,CB,2025-01-02,,,Colorado,Big 12,10
73,62,C.J. Baxter,Texas,RB,2025-01-02,,,Texas,SEC,10
74,74,A.J. Harris,Penn State,CB,2025-01-02,,,Pennsylvania,Big Ten,10
75,75,Riley Williams,Miami (FL),TE,2025-01-02,,,Florida,ACC,10
76,76,C.J. Allen,Georgia,LB,2025-01-02,,,Georgia,SEC,10
77,77,Ka'morreun Pimpton,LSU,TE,2025-01-02,,,Louisiana,SEC,10
78,78,Joshua Padilla,Ohio State,IOL,2025-01-02,,,Ohio,Big Ten,10
79,79,Joshua Mickens,Ohio State,EDGE,2025-01-02,,,Ohio,Big Ten,10
80,80,Shelton Sampson Jr.,LSU,WR,2025-01-02,,,Louisiana,SEC,10
81,81,Drayk Bowen,Notre Dame,LB,2025-01-02,,,Indiana,FBS - Independent,10
82,82,Jaxon Howard,LSU,EDGE,2025-01-02,,,Louisiana,SEC,10
83,83,Kaden Feagin,Illinois,RB,2025-01-02,,,Illinois,Big Ten,10
84,84,Olaus Alinen,Alabama,OT,2025-01-02,,,Alabama,SEC,10
85,85,Desmond Umeozulu,South Carolina,EDGE,2025-01-02,,,South Carolina,SEC,10
86,86,Dijon Johnson,Florida,S,2025-01-02,,,Florida,SEC,10
87,87,Caleb Lomu,Utah,OT,2025-01-02,,,Utah,Big 12,10
88,88,Jahiem White,West Virginia,RB,2025-01-02,,,West Virginia,Big 12,10
89,89,Collins Acheampong,UCLA,EDGE,2025-01-02,,,California,Big Ten,10
90,90,Shamar Easter,Arkansas,TE,2025-01-02,,,Arkansas,SEC,10
91,91,Andrew Rappleyea,Penn State,TE,2025-01-02,,,Pennsylvania,Big Ten,10
92,92,Jelani McDonald,Texas,S,2025-01-02,,,Texas,SEC,10
93,93,D'angelo Ponds,Indiana,CB,2025-01-02,,,Indiana,Big Ten,10
94,94,Enow Etta,Michigan,EDGE,2025-01-02,,,Michigan,Big Ten,10
95,1,Garrett Nussmeier,LSU,QB,2025-01-02,,,Louisiana,SEC,10
96,96,Jayden Wayne,Washington,EDGE,2025-01-02,,,Washington,Big Ten,10
97,2,Patrick Payton,LSU,EDGE,2025-01-02,,,Louisiana,SEC,10
98,97,Benjamin Brahmer,Iowa State,TE,2025-01-02,,,Iowa,Big 12,10
99,98,Ian Reed,Clemson,IOL,2025-01-02,,,South Carolina,ACC,10
100,99,Sam Leavitt,Arizona State,QB,2025-01-02,,,Arizona,Big 12,10
101,100,Caleb Herring,Tennessee,EDGE,2025-01-02,,,Tennessee,SEC,8
102,101,Ethan Davis,Tennessee,TE,2025-01-02,,,Tennessee,SEC,8
103,102,Hunter Osborne,Alabama,DL,2025-01-02,,,Alabama,SEC,8
104,103,Ty Lockwood,Alabama,TE,2025-01-02,,,Alabama,SEC,8
105,104,Jayce Brown,Kansas State,WR,2025-01-02,,,Kansas,Big 12,8
106,103,Ta'Mere Robinson,Penn State,S,2025-01-02,,,Pennsylvania,Big Ten,8
107,106,Stephiylan Green,Clemson,DL,2025-01-02,,,South Carolina,ACC,8
108,107,Dakaari Nelson,Penn State,S,2025-01-02,,,Pennsylvania,Big Ten,8
109,108,Grayson Loftis,Duke,QB,2025-01-02,,,North Carolina,ACC,8
110,104,Colton Vasek,Texas,EDGE,2025-01-02,,,Texas,SEC,8
111,110,Collin Sadler,Clemson,OT,2025-01-02,,,South Carolina,ACC,8
112,111,Markee Anderson,South Carolina,IOL,2025-01-02,,,South Carolina,SEC,8
113,112,Chris Johnson Jr.,SMU,RB,2025-01-02,,,Texas,ACC,8
114,113,Nate Johnson,Vanderbilt,QB,2025-01-02,,,Tennessee,SEC,8
115,114,Chimdy Onoh,Penn State,OT,2025-01-02,,,Pennsylvania,Big Ten,8
116,115,Sedrick Alexander,Vanderbilt,RB,2025-01-02,,,Tennessee,SEC,8
117,107,DeAndre Moore Jr.,Texas,WR,2025-01-02,,,Texas,SEC,8
118,117,Lewis Carter,Oklahoma,LB,2025-01-02,,,Oklahoma,SEC,8
119,118,Cooper Flanagan,Notre Dame,TE,2025-01-02,,,Indiana,FBS - Independent,8
120,119,Daylen Austin,Oregon,CB,2025-01-02,,,Oregon,Big Ten,8
121,120,Ayden Williams,Ole Miss,WR,2025-01-02,,,Mississippi,SEC,7
122,121,Jaybron Harvey,North Carolina,EDGE,2025-01-02,,,North Carolina,ACC,7
123,123,Brenan Vernon,Notre Dame,DL,2025-01-02,,,Indiana,FBS - Independent,7
124,124,Jaylon Braxton,Ole Miss,CB,2025-01-02,,,Mississippi,SEC,7
125,125,Dion Crawford,Buffalo,LB,2025-01-02,,,New York,FBS - MAC,7
126,126,Amare Thomas,UAB,WR,2025-01-02,,,Alabama,FBS - AAC,7
127,127,Kaleb Jackson,LSU,RB,2025-01-02,,,Louisiana,SEC,7
128,108,Austin Novosad,Oregon,QB,2025-01-02,,,Oregon,Big Ten,7
129,129,Jaydon Chatman,Texas,OT,2025-01-02,,,Texas,SEC,7
130,130,Richard Young,Alabama,RB,2025-01-02,,,Alabama,SEC,7
131,131,Shamurad Umarov,Tennessee,OT,2025-01-02,,,Tennessee,SEC,7
132,132,Jameial Lyons,Penn State,EDGE,2025-01-02,,,Pennsylvania,Big Ten,7
133,3,Dontay Corleone,Cincinnati,DL,2025-01-02,,,Ohio,Big 12,7
134,134,Jordan Bass,Pitt,LB,2025-01-02,,,Pennsylvania,ACC,7
135,135,Kedrick Reescano,Arizona,RB,2025-01-02,,,Arizona,Big 12,7
136,105,Derion Gullette,Mississippi State,EDGE,2025-01-02,,,Mississippi,SEC,7
137,137,Madden Sanker,Louisville,OT,2025-01-02,,,Kentucky,ACC,7
138,138,Treyaun Webb,Florida,RB,2025-01-02,,,Florida,SEC,7
