Rank,PlayerName,School,Position,Date
1,Cade Klubnik,Clemson,QB,2025-08-15
2,Garrett Nussmeier,LSU,QB,2025-08-15
3,Caleb Downs,Ohio State,S,2025-08-15
4,LaNorris Sellers,South Carolina,QB,2025-08-15
5,Francis Mauigoa,Miami (FL),OT,2025-08-15
6,T.J. Parker,Clemson,DL,2025-08-15
7,Peter Woods,Clemson,DL,2025-08-15
8,Kadyn Proctor,Alabama,OT,2025-08-15
9,Spencer Fano,Utah,OT,2025-08-15
10,Jeremiyah Love,Notre Dame,RB,2025-08-15
11,Fernando Mendoza,Indiana,QB,2025-08-15
12,Rueben Bain,Miami (FL),EDGE,2025-08-15
13,Keldric Faulk,Auburn,DL,2025-08-15
14,Jermod McCoy,Tennessee,CB,2025-08-15
15,Drew Allar,Penn State,QB,2025-08-15
16,Caleb Banks,Florida,DL,2025-08-15
17,Dani Dennis-Sutton,Penn State,EDGE,2025-08-15
18,Jordyn Tyson,Arizona State,WR,2025-08-15
19,Anthony Hill Jr.,Texas,LB,2025-08-15
20,Antonio Williams,Clemson,WR,2025-08-15
21,Dillon Thieneman,Oregon,S,2025-08-15
22,Matayo Uiagalelei,Oregon,EDGE,2025-08-15
23,Isaiah World,Oregon,OT,2025-08-15
24,Avieon Terrell,Clemson,CB,2025-08-15
25,Caleb Lomu,Utah,OT,2025-08-15
26,C.J. Allen,Georgia,LB,2025-08-15
27,L.T. Overton,Alabama,EDGE,2025-08-15
28,DJ McKinney,Colorado,CB,2025-08-15
29,Jalon Kilgore,South Carolina,CB,2025-08-15
30,Austin Barber,Florida,OT,2025-08-15
31,Denzel Boston,Washington,WR,2025-08-15
32,Christen Miller,Georgia,DL,2025-08-15
33,Gabe Jacas,Illinois,EDGE,2025-08-15
34,Carnell Tate,Ohio State,WR,2025-08-15
35,Anto Saka,Northwestern,EDGE,2025-08-15
36,A.J. Harris,Penn State,CB,2025-08-15
37,Suntarine Perkins,Mississippi,LB,2025-08-15
38,Domani Jackson,Alabama,CB,2025-08-15
39,Sonny Styles,Ohio State,LB,2025-08-15
40,Malik Muhammad,Texas,CB,2025-08-15
41,Nick Singleton,Penn State,RB,2025-08-15
42,Ja'Kobi Lane,USC,WR,2025-08-15
43,Tyreak Sapp,Florida,DL,2025-08-15
44,Kevin Concepcion,Texas A&M,WR,2025-08-15
45,Nyck Harbor,South Carolina,WR,2025-08-15
46,Sam Leavitt,Arizona State,QB,2025-08-15
47,Eric Singleton Jr.,Auburn,WR,2025-08-15
48,David Bailey,Texas Tech,EDGE,2025-08-15
49,Max Klare,Ohio State,TE,2025-08-15
50,Tacario Davis,Washington,CB,2025-08-15
51,Cayden Green,Missouri,OT,2025-08-15
52,D'angelo Ponds,Indiana,CB,2025-08-15
53,Drew Shelton,Penn State,OT,2025-08-15
54,Emmanuel Pregnon,Oregon,IOL,2025-08-15
55,Will Lee III,Texas A&M,CB,2025-08-15
56,Dontay Corleone,Cincinnati,DL,2025-08-15
57,Mansoor Delane,LSU,CB,2025-08-15
58,Tim Keenan III,Alabama,DL,2025-08-15
59,Harold Perkins,LSU,LB,2025-08-15
60,Aamil Wagner,Notre Dame,OT,2025-08-15
61,Caleb Tiernan,Northwestern,OT,2025-08-15
62,Deontae Lawson,Alabama,LB,2025-08-15
63,Kenyon Sadiq,Oregon,TE,2025-08-15
64,Zachariah Branch,Georgia,WR,2025-08-15
65,Jake Slaughter,Florida,IOL,2025-08-15
66,Elijah Sarratt,Indiana,WR,2025-08-15
67,Makai Lemon,USC,WR,2025-08-15
68,Gracen Halton,Oklahoma,DL,2025-08-15
69,Jack Endries,California,TE,2025-08-15
70,Zane Durant,Penn State,DL,2025-08-15
71,Jaeden Roberts,Alabama,IOL,2025-08-15
72,Kaytron Allen,Penn State,RB,2025-08-15
73,Keon Sabb,Alabama,S,2025-08-15
74,Drayk Bowen,Notre Dame,LB,2025-08-15
75,Cashius Howell,Texas A&M,EDGE,2025-08-15
76,DeMonte Capehart,Clemson,DL,2025-08-15
77,Parker Brailsford,Alabama,IOL,2025-08-15
78,Eli Stowers,Vanderbilt,TE,2025-08-15
79,Ar'maj Reed-Adams,Texas A&M,IOL,2025-08-15
80,Quintrevion Wisner,Texas,RB,2025-08-15
81,Kamari Ramsey,USC,S,2025-08-15
82,Makhi Hughes,Oregon,RB,2025-08-15
83,Patrick Payton,LSU,EDGE,2025-08-15
84,Chandler Rivers,Duke,CB,2025-08-15
85,Blake Miller,Clemson,OT,2025-08-15
86,John Mateer,Oklahoma,QB,2025-08-15
87,Mikail Kamara,Indiana,EDGE,2025-08-15
88,Xavier Scott,Illinois,S,2025-08-15
89,Tristan Leigh,Clemson,OT,2025-08-15
90,Trey Zuhn III,Texas A&M,OT,2025-08-15
91,Keanu Tanuvasa,Utah,DL,2025-08-15
92,Davison Igbinosun,Ohio State,CB,2025-08-15
93,Darrell Jackson Jr.,Florida State,DL,2025-08-15
94,Charles Jagusah,Notre Dame,OT,2025-08-15
95,D.J. Campbell,Texas,IOL,2025-08-15
96,Chase Bisontis,Texas A&M,IOL,2025-08-15
97,Michael Taaffe,Texas,S,2025-08-15
98,Christian Gray,Notre Dame,CB,2025-08-15
99,Jaishawn Barham,Michigan,LB,2025-08-15
100,Le'Veon Moss,Texas A&M,RB,2025-08-15
101,Josh Cameron,Baylor,WR,2025-08-15
102,Justice Haynes,Michigan,RB,2025-08-15
103,Anthony Smith,Minnesota,DL,2025-08-15
104,Zeke Berry,Michigan,S,2025-08-15
105,DeAndre Moore Jr.,Texas,WR,2025-08-15
106,Fa'alili Fa'amoe,Wake Forest,OT,2025-08-15
107,Jude Bowry,Boston College,OT,2025-08-15
108,Eric Rivers,Georgia Tech,WR,2025-08-15
109,Keith Abney II,Arizona State,CB,2025-08-15
110,Taurean York,Texas A&M,LB,2025-08-15
111,Connor Lew,Auburn,IOL,2025-08-15
112,Amare Ferrell,Indiana,S,2025-08-15
113,C.J. Baxter,Texas,RB,2025-08-15
114,Lander Barton,Utah,LB,2025-08-15
115,Xavier Nwankpa,Iowa,S,2025-08-15
116,Jamarion Miller,Alabama,RB,2025-08-15
117,Jaydn Ott,Oklahoma,RB,2025-08-15
118,Judge Collier,South Carolina,CB,2025-08-15
119,Josh Moten,Marshall,CB,2025-08-15
120,Aidan Chiles,Michigan State,QB,2025-08-15
121,Kage Casey,Boise State,OT,2025-08-15
122,Brett Norfleet,Missouri,TE,2025-08-15
123,Aaron Anderson,LSU,WR,2025-08-15
124,Whit Weeks,LSU,LB,2025-08-15
125,Lee Hunter,Texas Tech,DL,2025-08-15
126,Max Llewellyn,Iowa,EDGE,2025-08-15
127,Joe Royer,Cincinnati,TE,2025-08-15
128,Jaheim Oatis,Colorado,DL,2025-08-15
129,J.Michael Sturdivant,Florida,WR,2025-08-15
130,Gennings Dunker,Iowa,OT,2025-08-15
131,Evan Stewart,Oregon,WR,2025-08-15
132,Nico Iamaleava,UCLA,QB,2025-08-15
133,Jyaire Hill,Michigan,CB,2025-08-15
134,Darius Taylor,Minnesota,RB,2025-08-15
135,Jonah Coleman,Washington,RB,2025-08-15
136,Boubacar Traore,Notre Dame,DL,2025-08-15
137,Amare Campbell,North Carolina,LB,2025-08-15
138,Malachi Fields,Virginia,WR,2025-08-15
139,Tao Johnson,Utah,S,2025-08-15
140,Xavier Chaplin,Auburn,OT,2025-08-15
141,Trevor Goosby,Texas,OT,2025-08-15
142,Iapani Laloulu,Oregon,IOL,2025-08-15
143,Isaiah Nwokobia,SMU,S,2025-08-15
144,Raylen Wilson,Georgia,LB,2025-08-15
145,Duce Robinson,Florida State,WR,2025-08-15
146,Emmanuel McNeil-Warren,Toledo,S,2025-08-15
147,Nic Anderson,LSU,WR,2025-08-15
148,Miller Moss,Louisville,QB,2025-08-15
149,Michael Harris,Maryland,LB,2025-08-15
150,Bryce Lance,North Dakota State,WR,2025-08-15
151,Cole Wisniewski,Texas Tech,S,2025-08-15
152,Ryan Baer,Pittsburgh,IOL,2025-08-15
153,Jermaine Mathews Jr.,Ohio State,CB,2025-08-15
154,Datrell Jones,Boston College,RB,2025-08-15
155,Jackie Marshall,Baylor,DL,2025-08-15
156,Derrick Moore,Michigan,EDGE,2025-08-15
157,Joshua Josephs,Tennessee,EDGE,2025-08-15
158,Chris Bell,Louisville,WR,2025-08-15
159,Dasan McCullough,Nebraska,EDGE,2025-08-15
160,Oscar Delp,Georgia,TE,2025-08-15
161,Braelin Moore,LSU,IOL,2025-08-15
162,Diego Pounds,Mississippi,OT,2025-08-15
163,Nate Johnson,Missouri,EDGE,2025-08-15
164,Lawson Luckie,Georgia,TE,2025-08-15
165,Kanye Udoh,Arizona State,RB,2025-08-15
166,Deion Burks,Oklahoma,WR,2025-08-15
167,Jack Velling,Michigan State,TE,2025-08-15
168,Domonique Orange,Iowa State,DL,2025-08-15
169,Logan Jones,Iowa,IOL,2025-08-15
170,R Mason Thomas,Oklahoma,EDGE,2025-08-15
171,Eli Holstein,Pittsburgh,QB,2025-08-15
172,Carson Beck,Miami (FL),QB,2025-08-15
173,Dane Key,Nebraska,WR,2025-08-15
174,Kayden McDonald,Ohio State,DL,2025-08-15
175,Earnest Greene,Georgia,OT,2025-08-15
176,Daylen Everette,Georgia,CB,2025-08-15
177,Damon Wilson Jr.,Georgia,EDGE,2025-08-15
178,John Michael Gyllenborg,Wyoming,TE,2025-08-15
179,Thaddeus Dixon,North Carolina,CB,2025-08-15
180,Trey Moore,Texas,EDGE,2025-08-15
181,James Smith,Alabama,DL,2025-08-15
182,Adonijah Green,Louisville,DL,2025-08-15
183,Jalen Catalon,UNLV,S,2025-08-15
184,Eugene Wilson III,Florida,WR,2025-08-15
185,Josh Thompson,LSU,IOL,2025-08-15
186,Izavion Miller,Auburn,OT,2025-08-15
187,Calvin Clements,Kansas,OT,2025-08-15
188,Monroe Freeling,Georgia,OT,2025-08-15
189,Bud Clark,TCU,S,2025-08-15
190,J.C. Davis,Illinois,OT,2025-08-15
191,Dametrious Crowner,Texas A&M,OT,2025-08-15
192,Knijeah Harris,Florida,IOL,2025-08-15
193,Cameron Calhoun,Alabama,CB,2025-08-15
194,Tellek Lockette,Texas State,IOL,2025-08-15
195,Jaden Greathouse,Notre Dame,WR,2025-08-15
196,Austin Romaine,Kansas State,LB,2025-08-15
197,Malik Spencer,Michigan State,S,2025-08-15
198,Greg Johnson,Minnesota,IOL,2025-08-15
199,Febechi Nwaiwu,Oklahoma,IOL,2025-08-15
200,Olaivavega Ioane,Penn State,IOL,2025-08-15
201,Darian Mensah,Duke,QB,2025-08-15
202,Avery Johnson,Kansas State,QB,2025-08-15
203,Jeadyn Lukus,Clemson,CB,2025-08-15
204,P.J. Williams,SMU,OT,2025-08-15
205,Giovanni El-Hadi,Michigan,OT,2025-08-15
206,Tyreek Chappell,Texas A&M,CB,2025-08-15
207,BJ Williams,Pittsburgh,IOL,2025-08-15
208,Chris McClellan,Missouri,DL,2025-08-15
209,McKale Boley,Virginia,IOL,2025-08-15
210,Kerry Brown,Minnesota,S,2025-08-15
211,Tanner Koziol,Wisconsin,TE,2025-08-15
212,Ethan Onianwa,Ohio State,OT,2025-08-15
213,Zxavian Harris,Mississippi,DL,2025-08-15
214,Marvin Jones Jr.,Florida State,EDGE,2025-08-15
215,Ben Murawski,UConn,IOL,2025-08-15
216,Elijah Pritchett,Nebraska,OT,2025-08-15
217,Ben Taylor-Whitfield,TCU,OT,2025-08-15
218,Josh Hoover,TCU,QB,2025-08-15
219,Kyle Louis,Pittsburgh,LB,2025-08-15
220,R.J. Maryland,SMU,TE,2025-08-15
221,Dorion Strawn,Texas State,IOL,2025-08-15
222,Wade Woodaz,Clemson,LB,2025-08-15
223,Shamar Easter,Arkansas,TE,2025-08-15
