Rank,Player Name,Position,College
1,Arvell Reese,LB,Ohio State
2,Rueben Bain,EDGE,Miami (FL)
3,Fernando Mendoza,QB,Indiana
4,Dante Moore,QB,Oregon
5,Caleb Downs,S,Ohio State
6,Ty Simpson,QB,Alabama
7,Jordyn Tyson,WR,Arizona State
8,Keldric Faulk,EDGE,Auburn
9,Spencer Fano,OT,Utah
10,Peter Woods,DL,Clemson
11,Carnell Tate,WR,Ohio State
12,Jeremiyah Love,RB,Notre Dame
13,Francis Mauigoa,OT,Miami (FL)
14,Mansoor Delane,CB,LSU
15,David Bailey,EDGE,Texas Tech
16,Jermod McCoy,CB,Tennessee
17,Kenyon Sadiq,TE,Oregon
18,Makai Lemon,WR,USC
19,T.J. Parker,EDGE,Clemson
20,Sonny Styles,LB,Ohio State
21,Olaivavega Ioane,IOL,Penn State
22,Kadyn Proctor,OT,Alabama
23,Denzel Boston,WR,Washington
24,Caleb Lomu,OT,Utah
25,Cashius Howell,EDGE,Texas A&M
26,C.J. Allen,LB,Georgia
27,Avieon Terrell,CB,Clemson
28,Kayden McDonald,DL,Ohio State
29,LaNorris Sellers,QB,South Carolina
30,Kevin Concepcion,WR,Texas A&M
31,Colton Hood,CB,Tennessee
32,Chris Bell,WR,Louisville
33,Matayo Uiagalelei,EDGE,Oregon
34,Caleb Banks,DL,Florida
35,Christen Miller,DL,Georgia
36,Brandon Cisse,CB,South Carolina
37,A'Mauri Washington,DL,Oregon
38,Isaiah World,OT,Oregon
39,L.T. Overton,EDGE,Alabama
40,Garrett Nussmeier,QB,LSU
41,Gennings Dunker,OT,Iowa
42,Anthony Hill Jr.,LB,Texas
43,Quincy Rhodes Jr.,EDGE,Arkansas
44,Romello Height,EDGE,Texas Tech
45,Chris Brazzell,WR,Tennessee
46,Joshua Josephs,EDGE,Tennessee
47,Emmanuel McNeil-Warren,S,Toledo
48,Germie Bernard,WR,Alabama
49,Keith Abney II,CB,Arizona State
50,Emmanuel Pregnon,IOL,Oregon
51,Blake Miller,OT,Clemson
52,A.J. Haulcy,S,LSU
53,R Mason Thomas,EDGE,Oklahoma
54,Jayden Maiava,QB,USC
55,Caleb Tiernan,OT,Northwestern
56,Kamari Ramsey,S,USC
57,Chris Johnson,CB,San Diego State
58,Dillon Thieneman,S,Oregon
59,Domonique Orange,DL,Iowa State
60,Trevor Goosby,OT,Texas
61,A.J. Harris,CB,Penn State
62,Zion Young,EDGE,Missouri
63,Ja'Kobi Lane,WR,USC
64,Connor Lew,IOL,Auburn
65,Carter Smith,OT,Indiana
66,Jake Golday,LB,Cincinnati
67,Cade Klubnik,QB,Clemson
68,Dani Dennis-Sutton,EDGE,Penn State
69,Elijah Sarratt,WR,Indiana
70,Jadarian Price,RB,Notre Dame
71,Max Klare,TE,Ohio State
72,D'angelo Ponds,CB,Indiana
73,Malik Muhammad,CB,Texas
74,Deontae Lawson,LB,Alabama
75,Julian Neal,CB,Arkansas
76,Zachariah Branch,WR,Georgia
77,Jonah Coleman,RB,Washington
78,Brendan Sorsby,QB,Cincinnati
79,Darrell Jackson Jr.,DL,Florida State
80,Chase Bisontis,IOL,Texas A&M
81,Damon Wilson Jr.,EDGE,Missouri
82,Justice Haynes,RB,Michigan
83,Antonio Williams,WR,Clemson
84,Skyler Gill-Howard,DL,Texas Tech
85,Austin Siereveld,OT,Ohio State
86,Davison Igbinosun,CB,Ohio State
87,Michael Trigg,TE,Baylor
88,Will Lee III,CB,Texas A&M
89,Omar Cooper Jr.,WR,Indiana
90,Dontay Corleone,DL,Cincinnati
91,Brian Parker II,OT,Duke
92,Skyler Bell,WR,UConn
