Rank,Player Name,Position,College
1,Fernando Mendoza,QB,Indiana
2,Rueben Bain,EDGE,Miami (FL)
3,Dante Moore,QB,Oregon
4,LaNorris Sellers,QB,South Carolina
5,Caleb Downs,S,Ohio State
6,Ty Simpson,QB,Alabama
7,Jordyn Tyson,WR,Arizona State
8,Peter Woods,DL,Clemson
9,Keldric Faulk,EDGE,Auburn
10,Spencer Fano,OT,Utah
11,Francis Mauigoa,OT,Miami (FL)
12,T.J. Parker,EDGE,Clemson
13,Kadyn Proctor,OT,Alabama
14,Garrett Nussmeier,QB,LSU
15,Jermod McCoy,CB,Tennessee
16,Arvell Reese,LB,Ohio State
17,Jeremiyah Love,RB,Notre Dame
18,Mansoor Delane,CB,LSU
19,Makai Lemon,WR,USC
20,Carnell Tate,WR,Ohio State
21,Kenyon Sadiq,TE,Oregon
22,Caleb Lomu,OT,Utah
23,Avieon Terrell,CB,Clemson
24,David Bailey,EDGE,Texas Tech
25,Matayo Uiagalelei,EDGE,Oregon
26,Denzel Boston,WR,Washington
27,L.T. Overton,EDGE,Alabama
28,Anthony Hill Jr.,LB,Texas
29,Caleb Banks,DL,Florida
30,Sonny Styles,LB,Ohio State
31,John Mateer,QB,Oklahoma
32,Cashius Howell,EDGE,Texas A&M
33,Isaiah World,OT,Oregon
34,Connor Lew,IOL,Auburn
35,C.J. Allen,LB,Georgia
36,Colton Hood,CB,Tennessee
37,Ja'Kobi Lane,WR,USC
38,Gennings Dunker,OT,Iowa
39,A'Mauri Washington,DL,Oregon
40,Chris Brazzell,WR,Tennessee
41,Olaivavega Ioane,IOL,Penn State
42,Dani Dennis-Sutton,EDGE,Penn State
43,Joshua Josephs,EDGE,Tennessee
44,Chris Bell,WR,Louisville
45,Antonio Williams,WR,Clemson
46,A.J. Harris,CB,Penn State
47,Keith Abney II,CB,Arizona State
48,Trevor Goosby,OT,Texas
49,Cade Klubnik,QB,Clemson
50,Dillon Thieneman,S,Oregon
51,Romello Height,EDGE,Texas Tech
52,Drew Allar,QB,Penn State
53,Kamari Ramsey,S,USC
54,Christen Miller,DL,Georgia
55,Domonique Orange,DL,Iowa State
56,Xavier Chaplin,OT,Auburn
57,Kevin Concepcion,WR,Texas A&M
58,Justice Haynes,RB,Michigan
59,R Mason Thomas,EDGE,Oklahoma
60,Harold Perkins,LB,LSU
61,Austin Barber,OT,Florida
62,Max Klare,TE,Ohio State
